51,New York,London,2024-03-15,14:00,Ejecutiva,700.00,120
52,London,Paris,2024-03-15,16:30,Primera Clase,1200.00,80
53,Paris,Tokyo,2024-03-16,21:45,Economica,550.00,150
54,Tokyo,New York,2024-03-17,18:00,Economica,600.00,180
55,New York,Los Angeles,2024-03-18,20:30,Economica,450.00,100
56,London,New York,2024-04-10,14:00,Economica,480.00,120
57,London,Tokyo,2024-04-12,15:15,Ejecutiva,900.00,100
58,Tokyo,Paris,2024-04-14,18:30,Primera Clase,1500.00,50
59,Paris,New York,2024-04-16,20:45,Economica,520.00,80
60,New York,London,2024-04-18,23:00,Economica,420.00,90
61,Los Angeles,New York,2024-05-02,02:15,Ejecutiva,1000.00,60
62,New York,Paris,2024-05-05,04:30,Primera Clase,1600.00,40
63,Paris,London,2024-05-08,06:45,Economica,550.00,70
64,London,Tokyo,2024-05-12,09:00,Economica,600.00,100
65,Tokyo,Los Angeles,2024-09-15,11:15,Economica,480.00,120
66,Los Angeles,New York,2024-05-18,13:30,Ejecutiva,1100.00,80
67,New York,Paris,2024-05-20,15:45,Primera Clase,1300.00,100
68,Paris,London,2024-05-22,18:00,Economica,550.00,120
69,London,Tokyo,2024-05-25,20:15,Economica,600.00,140
70,Tokyo,New York,2024-05-28,22:30,Economica,480.00,160
71,London,New York,2024-06-01,10:00,Economica,480.00,120
72,New York,London,2024-06-04,12:15,Economica,420.00,150
73,Paris,Tokyo,2024-06-07,14:30,Economica,550.00,180
74,Tokyo,Paris,2024-06-10,16:45,Economica,600.00,200
75,London,Paris,2024-06-13,19:00,Economica,480.00,220
76,Paris,London,2024-06-16,21:15,Economica,420.00,240
77,New York,Los Angeles,2024-06-19,23:30,Economica,550.00,260
78,Los Angeles,New York,2024-06-22,01:45,Economica,600.00,280
79,Tokyo,London,2024-06-25,04:00,Economica,480.00,300
80,London,Tokyo,2024-06-28,06:15,Economica,420.00,320
81,Paris,New York,2024-07-01,08:30,Economica,550.00,120
82,New York,Paris,2024-07-04,10:45,Economica,600.00,150
83,London,New York,2024-07-07,13:00,Economica,480.00,180
84,New York,London,2024-07-10,15:15,Economica,420.00,200
85,Tokyo,Los Angeles,2024-07-13,17:30,Economica,550.00,220
86,Los Angeles,Tokyo,2024-07-16,19:45,Economica,600.00,240
87,Paris,London,2024-07-19,22:00,Economica,480.00,260
88,London,Paris,2024-07-22,00:15,Economica,420.00,280
89,New York,Los Angeles,2024-07-25,02:30,Economica,550.00,300
90,Los Angeles,New York,2024-07-28,04:45,Economica,600.00,320
91,London,New York,2024-02-02,11:30,Economica,480.00,70
92,New York,Paris,2024-02-05,13:45,Primera Clase,1300.00,30
93,Paris,London,2024-02-08,16:00,Economica,520.00,60
94,London,Tokyo,2024-02-11,18:15,Economica,550.00,90
95,Tokyo,New York,2024-02-14,20:30,Economica,400.00,120
96,Los Angeles,Paris,2024-02-17,22:45,Economica,870.00,80
97,Paris,London,2024-02-20,01:00,Primera Clase,1200.00,100
98,London,New York,2024-02-23,03:15,Economica,490.00,150
99,New York,Los Angeles,2024-02-26,05:30,Economica,420.00,180
100,Los Angeles,Tokyo,2024-02-29,07:45,Economica,550.00,200
101,Tokyo,London,2024-02-02,09:00,Economica,480.00,70
102,London,Paris,2024-02-05,11:15,Primera Clase,1300.00,30
103,Paris,London,2024-02-08,13:30,Economica,520.00,60
104,London,Tokyo,2024-02-11,15:45,Economica,550.00,90
105,Tokyo,New York,2024-02-14,18:00,Economica,400.00,120
106,Los Angeles,Paris,2024-02-17,20:15,Ejecutiva,870.00,80
107,Paris,London,2024-02-20,22:30,Primera Clase,1200.00,100
108,London,New York,2024-02-23,00:45,Economica,490.00,150
109,New York,Los Angeles,2024-02-26,03:00,Economica,420.00,180
110,Los Angeles,Tokyo,2024-02-29,05:15,Economica,550.00,200
111,Los Angeles,Tokyo,2024-02-29,07:15,Economica,550.00,200
112,Los Angeles,Tokyo,2024-02-29,10:15,Economica,750.00,200
113,Paris,Los Angeles,2024-02-21,16:30,Economica,540.00,140
